key,tourn,round,player.id,match.id,seed,seeded,name,Sets.Played,Tie.Breaks.Played,Total.Games,Winners,Return.Games.Won,Server.Points.Won,Total.Points,First.Serves.In,Total.Aces,Total.Double.Faults,First.Serve.Pts.Won,Pct.1stt.Serve.In,Unforced.Errors,Winning.Pct.on.1st.Serve,Winning.Pct.on.2nd.Serve,Receiving.Points.Won,Break.Point.Conversions,Net.Approaches,Total.Points.Won,Fastest.Serve.Speed,Average.1st.Serve.Speed,Average.2nd.Serve.Speed,W.UE,RPW.TPW,W.minus.Aces,SPW.TPW,match.type,year,won
2144.AUS.2012,AUS,1,110552,2144,18,Seeded,Svetlana Kuznetsova,3,0,24,39,7,42,88,51,3,3,28,68,43,55,58,53,64,69,88,105.011699,90.098795,73.943149,0.906976744,0.602272727,36,0.477272727,2,1,1
2116.AUS.2012,AUS,1,120330,2116,5,Seeded,Na Li,2,0,16,16,6,25,57,29,0,0,18,71,24,62,58,57,43,80,57,100.040731,93.827021,80.77823,0.666666667,1,16,0.438596491,2,1,1
2112.AUS.2012,AUS,1,120420,2112,0,Not Seeded,Varvara Lepchenko,3,0,27,28,3,40,80,44,0,3,32,64,38,73,32,39,38,86,80,103.768957,96.312505,77.050004,0.736842105,0.4875,28,0.5,2,1,0
2113.AUS.2012,AUS,1,130611,2113,0,Not Seeded,Anabel Medina,2,0,18,0,7,32,74,35,0,2,24,60,2,69,35,58,58,NA,74,NA,NA,NA,0,0.783783784,0,0.432432432,2,1,1
2132.AUS.2012,AUS,1,130713,2132,0,Not Seeded,Bethanie Mattek-Sands,3,1,31,81,4,62,118,53,4,5,35,48,65,66,47,41,24,71,118,112.468151,100.040731,75.185891,1.246153846,0.347457627,77,0.525423729,2,1,0
2126.AUS.2012,AUS,1,150185,2126,0,Not Seeded,Romina Oprandi,2,0,17,0,6,31,67,34,0,3,22,67,3,65,53,57,60,NA,67,NA,NA,NA,0,0.850746269,0,0.462686567,2,1,1
2152.AUS.2012,AUS,1,160379,2152,29,Seeded,Nadia Petrova,3,0,24,11,4,49,82,39,11,7,29,54,7,74,61,43,40,NA,82,NA,NA,NA,1.571428571,0.524390244,0,0.597560976,2,1,1
2121.AUS.2012,AUS,1,160391,2121,19,Seeded,Flavia Pennetta,3,0,24,1,4,39,69,50,1,1,30,68,1,60,38,41,40,NA,69,NA,NA,NA,1,0.594202899,0,0.565217391,2,1,0
2124.AUS.2012,AUS,1,160471,2124,16,Seeded,Shuai Peng,2,0,19,14,4,41,71,41,5,5,32,64,13,78,39,47,44,67,71,106.254441,93.20565,77.050004,1.076923077,0.661971831,9,0.577464789,2,1,1
2125.AUS.2012,AUS,1,160481,2125,0,Not Seeded,Laura Pous-Tio,2,0,16,13,1,26,39,26,3,4,14,46,33,54,40,29,25,50,39,106.254441,101.283473,79.535488,0.393939394,0.743589744,10,0.666666667,2,0,0
2103.AUS.2012,AUS,1,160515,2103,0,Not Seeded,Pauline Parmentier,3,0,30,3,6,58,96,47,3,2,37,49,2,79,43,46,60,NA,96,NA,NA,NA,1.5,0.479166667,0,0.604166667,2,1,1
2101.AUS.2012,AUS,1,180356,2101,0,Not Seeded,Anastasia Rodionova,2,0,15,19,0,25,45,32,2,1,19,60,36,59,29,35,0,65,45,100.662102,94.448392,79.535488,0.527777778,0.777777778,17,0.555555556,2,1,0
2156.AUS.2012,AUS,1,180384,2156,0,Not Seeded,Virginie Razzano,2,0,18,12,2,28,48,37,2,4,24,60,31,65,16,37,67,71,48,102.526215,95.069763,82.642343,0.387096774,0.770833333,10,0.583333333,2,1,0
2125.AUS.2012,AUS,1,190666,2125,10,Seeded,Francesca Schiavone,2,0,16,21,5,32,62,20,5,2,16,44,21,80,64,54,56,62,62,108.739925,97.555247,77.050004,1,0.870967742,16,0.516129032,2,1,1
