count,sensor,date,time,day,month,high_tmp,low_tmp,high_prcp
2580,Melbourne Central,2013-01-02,14,Wed,Jan,not,not,none
1645,Flinders Street Station Underpass,2013-01-02,15,Wed,Jan,not,not,none
2421,Melbourne Central,2013-01-02,15,Wed,Jan,not,not,none
1775,Flinders Street Station Underpass,2013-01-02,16,Wed,Jan,not,not,none
2441,Melbourne Central,2013-01-02,16,Wed,Jan,not,not,none
2151,Flinders Street Station Underpass,2013-01-02,17,Wed,Jan,not,not,none
2570,Melbourne Central,2013-01-02,17,Wed,Jan,not,not,none
1387,Flinders Street Station Underpass,2013-01-02,18,Wed,Jan,not,not,none
2286,Melbourne Central,2013-01-02,18,Wed,Jan,not,not,none
978,Flinders Street Station Underpass,2013-01-02,19,Wed,Jan,not,not,none
1851,Melbourne Central,2013-01-02,19,Wed,Jan,not,not,none
783,Flinders Street Station Underpass,2013-01-02,20,Wed,Jan,not,not,none
1548,Melbourne Central,2013-01-02,20,Wed,Jan,not,not,none
746,Flinders Street Station Underpass,2013-01-02,21,Wed,Jan,not,not,none
1465,Melbourne Central,2013-01-02,21,Wed,Jan,not,not,none
748,Flinders Street Station Underpass,2013-01-02,22,Wed,Jan,not,not,none
951,Melbourne Central,2013-01-02,22,Wed,Jan,not,not,none
555,Flinders Street Station Underpass,2013-01-02,23,Wed,Jan,not,not,none
638,Melbourne Central,2013-01-02,23,Wed,Jan,not,not,none
222,Flinders Street Station Underpass,2013-01-03,0,Thurs,Jan,hot,not,none
229,Melbourne Central,2013-01-03,0,Thurs,Jan,hot,not,none
63,Flinders Street Station Underpass,2013-01-03,1,Thurs,Jan,hot,not,none
103,Melbourne Central,2013-01-03,1,Thurs,Jan,hot,not,none
39,Flinders Street Station Underpass,2013-01-03,2,Thurs,Jan,hot,not,none
33,Melbourne Central,2013-01-03,2,Thurs,Jan,hot,not,none
23,Flinders Street Station Underpass,2013-01-03,3,Thurs,Jan,hot,not,none
36,Melbourne Central,2013-01-03,3,Thurs,Jan,hot,not,none
28,Flinders Street Station Underpass,2013-01-03,4,Thurs,Jan,hot,not,none
25,Melbourne Central,2013-01-03,4,Thurs,Jan,hot,not,none
66,Flinders Street Station Underpass,2013-01-03,5,Thurs,Jan,hot,not,none
41,Melbourne Central,2013-01-03,5,Thurs,Jan,hot,not,none
151,Flinders Street Station Underpass,2013-01-03,6,Thurs,Jan,hot,not,none
70,Melbourne Central,2013-01-03,6,Thurs,Jan,hot,not,none
611,Flinders Street Station Underpass,2013-01-03,7,Thurs,Jan,hot,not,none
242,Melbourne Central,2013-01-03,7,Thurs,Jan,hot,not,none
1307,Flinders Street Station Underpass,2013-01-03,8,Thurs,Jan,hot,not,none
452,Melbourne Central,2013-01-03,8,Thurs,Jan,hot,not,none
930,Flinders Street Station Underpass,2013-01-03,9,Thurs,Jan,hot,not,none
677,Melbourne Central,2013-01-03,9,Thurs,Jan,hot,not,none
943,Flinders Street Station Underpass,2013-01-03,10,Thurs,Jan,hot,not,none
983,Melbourne Central,2013-01-03,10,Thurs,Jan,hot,not,none
1021,Flinders Street Station Underpass,2013-01-03,11,Thurs,Jan,hot,not,none
752,Melbourne Central,2013-01-03,11,Thurs,Jan,hot,not,none
1758,Flinders Street Station Underpass,2013-01-03,12,Thurs,Jan,hot,not,none
2006,Melbourne Central,2013-01-03,12,Thurs,Jan,hot,not,none
1708,Flinders Street Station Underpass,2013-01-03,13,Thurs,Jan,hot,not,none
2524,Melbourne Central,2013-01-03,13,Thurs,Jan,hot,not,none
1344,Flinders Street Station Underpass,2013-01-03,14,Thurs,Jan,hot,not,none
2541,Melbourne Central,2013-01-03,14,Thurs,Jan,hot,not,none
1351,Flinders Street Station Underpass,2013-01-03,15,Thurs,Jan,hot,not,none
